# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	539
#@/user_id	37056f9d-afe8-46c2-8041-133d94fb0b15
a 	啊	c=1 d=0.142274 t=539
an niu 	按鈕	c=2 d=1.34063 t=539
ba 	吧	c=0 d=0.0429557 t=539
bai du 	百度	c=2 d=1.18051 t=539
bai du wang pan 	百度網盤	c=1 d=1 t=537
ban dao 	搬到	c=1 d=0.198891 t=539
ban le 	搬了	c=1 d=0.416862 t=539
ban shi 	辦事	c=1 d=0.421052 t=539
bao guo 	包裹	c=0 d=0.00944202 t=539
bao li 	暴力	c=0 d=0.0852144 t=539
bei 	被	c=1 d=0.697676 t=539
bei bian 	北邊	c=1 d=0.477114 t=539
bei jing 	北京	c=4 d=1.28026 t=539
ben di 	本地	c=2 d=0.792217 t=539
bian 	變	c=1 d=0.913931 t=539
bian cheng 	變成	c=0 d=0.0186374 t=539
bian hua 	變化	c=2 d=1.04934 t=539
bie xiang 	別想	c=0 d=0.0444858 t=539
bu 	不	c=1 d=0.695182 t=539
bu cuo 	不錯	c=0 d=0.0158025 t=539
bu dui 	不對	c=1 d=0.304221 t=539
bu gei wo 	不給我	c=1 d=0.14808 t=539
bu hui 	不回	c=0 d=0.0216536 t=539
bu hui 	不會	c=0 d=0.0215456 t=539
bu shi 	不是	c=3 d=1.97829 t=539
bu shi shuo 	不是說	c=1 d=0.634448 t=539
bu xian shi 	不顯示	c=1 d=0.621885 t=539
bu xiang 	不想	c=1 d=0.366045 t=539
bu xu yao 	不需要	c=1 d=0.311923 t=539
bu zhi dao 	不知道	c=2 d=0.513361 t=539
ca 	擦	c=2 d=0.903657 t=539
cai you 	纔有	c=1 d=0.275271 t=539
can shu 	參數	c=2 d=0.701798 t=539
cao 	曹	c=2 d=1.05805 t=539
ce shi 	測試	c=0 d=0.00902655 t=539
cha bu duo 	差不多	c=1 d=0.50409 t=539
chang an 	長按	c=2 d=1.64586 t=539
chang shi 	嘗試	c=1 d=0.767206 t=539
chang yang 	長陽	c=1 d=0.429557 t=539
cheng ben 	成本	c=1 d=0.240257 t=539
cheng xin 	誠信	c=0 d=0.0644036 t=539
chong qi 	重啓	c=2 d=1.9802 t=516
chong xin 	重新	c=1 d=0.289384 t=539
chu lai 	出來	c=2 d=0.919159 t=539
chuan zhi 	傳智	c=1 d=0.197899 t=539
ci ku 	詞庫	c=1 d=0.102797 t=539
cong 	從	c=1 d=1 t=527
da 	噠	c=0 d=0.0357007 t=539
da 	打	c=1 d=0.11366 t=539
da jie 	大街	c=1 d=0.0958472 t=539
da ke fu dian hua 	打客服電話	c=1 d=0.244143 t=539
dan ci 	單詞	c=0 d=0.0289579 t=539
dan ci ku 	單詞庫	c=1 d=0.146607 t=539
dan du 	單獨	c=1 d=0.818731 t=539
dan ge 	單個	c=0 d=0.0946485 t=539
dan ge le 	單個了	c=1 d=0.951229 t=539
dan hao 	單號	c=2 d=0.475043 t=539
dan wei 	單位	c=1 d=0.265803 t=539
dao 	到	c=2 d=0.832779 t=539
dao ru 	導入	c=1 d=0.102284 t=539
de 	的	c=20 d=7.98552 t=539
deng 	等	c=0 d=0.0396531 t=539
deng deng 	等等	c=1 d=0.13068 t=539
deng na ge 	等那個	c=1 d=0.398519 t=539
di ban ben 	低版本	c=1 d=0.790571 t=539
di fang 	地方	c=1 d=0.498416 t=539
di fang bu shi 	地方不是	c=1 d=0.582748 t=539
di que 	的確	c=1 d=0.694197 t=539
dian ji 	點擊	c=2 d=0.913811 t=539
dian le 	點了	c=1 d=0.327132 t=539
dian le zong bu 	點了總部	c=1 d=0.305746 t=539
diao 	掉	c=1 d=0.718924 t=539
dong jia wang 	董佳旺	c=1 d=0.0982736 t=539
dong xi 	東西	c=0 d=0.0165299 t=539
dou 	都	c=5 d=1.58563 t=539
dou mei you 	都沒有	c=1 d=0.650509 t=539
dou xiang 	都想	c=0 d=0.0384812 t=539
dou xiang fang qi 	都想放棄	c=1 d=0.386741 t=539
du shao fu zhi ren shu zhou 	杜少府之任蜀州	c=1 d=0.10435 t=539
en 	嗯	c=3 d=0.843916 t=539
en 	恩	c=2 d=0.56865 t=539
er ji 	二級	c=0 d=0.0272532 t=539
er ji jie mian 	二級界面	c=1 d=0.273898 t=539
fan 	飯	c=0 d=0.00982736 t=539
fan hui 	返回	c=2 d=1.1303 t=539
fan song fan 	飯送飯	c=1 d=0.0987662 t=539
fan zheng 	反正	c=3 d=0.637314 t=539
fang jia 	房價	c=1 d=0.470011 t=539
fang qi 	放棄	c=0 d=0.0384812 t=539
fang shi 	方式	c=1 d=0.865022 t=539
fang zi 	房子	c=2 d=1.36199 t=539
fen 	分	c=2 d=0.167069 t=539
